family,index,manifest_seed,representative_test,dma_len,src_bank,dst_bank,queue_pressure,backpressure_cycles,crc_fault_at,lane_fault_type,power_transition_cycle,aes_blocks,parity_injection,timeout_profile,retry_window,status,expected_status,meets_expectation,failure_bucket,detail,log_path,summary_csv,runner_returncode,constraint_status,applied_plusargs
random_smoke_25,19,2143874005,random_manifest_scenario,12,1,1,single,0,none,none,0,2,dst_maint,nominal,0,PASS,PASS,1,none,random_manifest_dst_parity_clean,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/random_stress_random_smoke_25_019_random_manifest_scenario.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/random_stress_random_smoke_25_019_regress_summary.csv,0,valid,DMA_LEN_WORDS=12;DMA_SRC_BASE=9;DMA_DST_BASE=129;DMA2_LEN_WORDS=12;DMA2_SRC_BASE=41;DMA2_DST_BASE=161;QUEUE_PRESSURE=single;PARITY_INJECTION=dst_maint;TIMEOUT_PROFILE=nominal;MAX_CYCLES=32000;TARGET_CIPHER_UPDATES=2;TARGET_TX_COUNT=64
random_smoke_25,20,600592225,random_manifest_scenario,2,0,0,single,0,none,none,0,2,dst_maint,nominal,0,PASS,PASS,1,none,random_manifest_dst_parity_clean,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/random_stress_random_smoke_25_020_random_manifest_scenario.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/random_stress_random_smoke_25_020_regress_summary.csv,0,valid,DMA_LEN_WORDS=2;DMA_SRC_BASE=8;DMA_DST_BASE=128;DMA2_LEN_WORDS=2;DMA2_SRC_BASE=40;DMA2_DST_BASE=160;QUEUE_PRESSURE=single;PARITY_INJECTION=dst_maint;TIMEOUT_PROFILE=nominal;MAX_CYCLES=32000;TARGET_CIPHER_UPDATES=2;TARGET_TX_COUNT=64
random_smoke_25,21,1106720682,random_manifest_scenario,2,0,0,single,0,none,none,0,2,dst_maint,nominal,0,PASS,PASS,1,none,random_manifest_dst_parity_clean,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/random_stress_random_smoke_25_021_random_manifest_scenario.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/random_stress_random_smoke_25_021_regress_summary.csv,0,valid,DMA_LEN_WORDS=2;DMA_SRC_BASE=8;DMA_DST_BASE=128;DMA2_LEN_WORDS=2;DMA2_SRC_BASE=40;DMA2_DST_BASE=160;QUEUE_PRESSURE=single;PARITY_INJECTION=dst_maint;TIMEOUT_PROFILE=nominal;MAX_CYCLES=32000;TARGET_CIPHER_UPDATES=2;TARGET_TX_COUNT=64
random_smoke_25,22,344076159,random_manifest_scenario,2,0,0,single,0,none,none,0,4,none,nominal,0,FAIL,PASS,0,dma_completion,random_manifest_dma_violation,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/random_stress_random_smoke_25_022_random_manifest_scenario.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/random_stress_random_smoke_25_022_regress_summary.csv,0,valid,DMA_LEN_WORDS=2;DMA_SRC_BASE=8;DMA_DST_BASE=128;DMA2_LEN_WORDS=2;DMA2_SRC_BASE=40;DMA2_DST_BASE=160;QUEUE_PRESSURE=single;PARITY_INJECTION=none;TIMEOUT_PROFILE=nominal;MAX_CYCLES=32000;TARGET_CIPHER_UPDATES=4;TARGET_TX_COUNT=128
random_smoke_25,23,819995302,random_manifest_scenario,16,0,1,single,0,none,none,0,4,dst_maint,nominal,0,PASS,PASS,1,none,random_manifest_dst_parity_clean,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/random_stress_random_smoke_25_023_random_manifest_scenario.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/random_stress_random_smoke_25_023_regress_summary.csv,0,valid,DMA_LEN_WORDS=16;DMA_SRC_BASE=8;DMA_DST_BASE=129;DMA2_LEN_WORDS=16;DMA2_SRC_BASE=40;DMA2_DST_BASE=161;QUEUE_PRESSURE=single;PARITY_INJECTION=dst_maint;TIMEOUT_PROFILE=nominal;MAX_CYCLES=32000;TARGET_CIPHER_UPDATES=4;TARGET_TX_COUNT=128
random_smoke_25,24,1452521937,random_manifest_scenario,4,0,1,pair,0,none,none,0,4,none,nominal,0,FAIL,PASS,0,dma_completion,random_manifest_dma_violation,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/random_stress_random_smoke_25_024_random_manifest_scenario.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/random_stress_random_smoke_25_024_regress_summary.csv,0,valid,DMA_LEN_WORDS=4;DMA_SRC_BASE=8;DMA_DST_BASE=129;DMA2_LEN_WORDS=4;DMA2_SRC_BASE=40;DMA2_DST_BASE=161;QUEUE_PRESSURE=pair;PARITY_INJECTION=none;TIMEOUT_PROFILE=nominal;MAX_CYCLES=32000;TARGET_CIPHER_UPDATES=4;TARGET_TX_COUNT=128
stress_retry_50,0,1252224366,prbs_retry_backpressure,12,1,1,single,8,late,none,0,4,none,nominal,4,PASS,PASS,1,none,clean,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/random_stress_stress_retry_50_000_prbs_retry_backpressure.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/random_stress_stress_retry_50_000_regress_summary.csv,0,valid,ENABLE_BACKPRESSURE=1;BACKPRESSURE_MOD=8;BACKPRESSURE_HOLD=1;ENABLE_CRC_WINDOW=1;CRC_START=200;CRC_COUNT=1;CRC_SPACING=4;ENABLE_LANE_FAULT=0
stress_retry_50,1,1418248492,prbs_retry_backpressure,16,1,1,single,16,mid,none,0,8,none,nominal,8,PASS,PASS,1,none,clean,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/random_stress_stress_retry_50_001_prbs_retry_backpressure.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/random_stress_stress_retry_50_001_regress_summary.csv,0,valid,ENABLE_BACKPRESSURE=1;BACKPRESSURE_MOD=4;BACKPRESSURE_HOLD=2;ENABLE_CRC_WINDOW=1;CRC_START=140;CRC_COUNT=1;CRC_SPACING=8;ENABLE_LANE_FAULT=0
stress_retry_50,2,1368639711,prbs_retry_backpressure,4,1,1,single,8,early,none,0,4,none,nominal,4,PASS,PASS,1,none,clean,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/random_stress_stress_retry_50_002_prbs_retry_backpressure.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/random_stress_stress_retry_50_002_regress_summary.csv,0,valid,ENABLE_BACKPRESSURE=1;BACKPRESSURE_MOD=8;BACKPRESSURE_HOLD=1;ENABLE_CRC_WINDOW=1;CRC_START=80;CRC_COUNT=1;CRC_SPACING=4;ENABLE_LANE_FAULT=0
stress_retry_50,3,1489067733,prbs_retry_backpressure,12,1,1,single,32,late,none,0,4,none,nominal,4,PASS,PASS,1,none,clean,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/random_stress_stress_retry_50_003_prbs_retry_backpressure.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/random_stress_stress_retry_50_003_regress_summary.csv,0,valid,ENABLE_BACKPRESSURE=1;BACKPRESSURE_MOD=2;BACKPRESSURE_HOLD=4;ENABLE_CRC_WINDOW=1;CRC_START=200;CRC_COUNT=1;CRC_SPACING=4;ENABLE_LANE_FAULT=0
stress_retry_50,4,1600501735,prbs_retry_backpressure,4,1,1,single,32,early,none,0,2,none,nominal,8,PASS,PASS,1,none,clean,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/random_stress_stress_retry_50_004_prbs_retry_backpressure.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/random_stress_stress_retry_50_004_regress_summary.csv,0,valid,ENABLE_BACKPRESSURE=1;BACKPRESSURE_MOD=2;BACKPRESSURE_HOLD=4;ENABLE_CRC_WINDOW=1;CRC_START=80;CRC_COUNT=1;CRC_SPACING=8;ENABLE_LANE_FAULT=0
stress_retry_50,5,1994387144,prbs_retry_backpressure,16,0,1,single,16,mid,none,0,4,none,nominal,8,PASS,PASS,1,none,clean,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/random_stress_stress_retry_50_005_prbs_retry_backpressure.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/random_stress_stress_retry_50_005_regress_summary.csv,0,valid,ENABLE_BACKPRESSURE=1;BACKPRESSURE_MOD=4;BACKPRESSURE_HOLD=2;ENABLE_CRC_WINDOW=1;CRC_START=140;CRC_COUNT=1;CRC_SPACING=8;ENABLE_LANE_FAULT=0
stress_retry_50,6,743365756,prbs_retry_backpressure,1,0,0,single,16,late,none,0,1,none,nominal,4,PASS,PASS,1,none,clean,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/random_stress_stress_retry_50_006_prbs_retry_backpressure.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/random_stress_stress_retry_50_006_regress_summary.csv,0,valid,ENABLE_BACKPRESSURE=1;BACKPRESSURE_MOD=4;BACKPRESSURE_HOLD=2;ENABLE_CRC_WINDOW=1;CRC_START=200;CRC_COUNT=1;CRC_SPACING=4;ENABLE_LANE_FAULT=0
stress_retry_50,7,71528674,prbs_retry_backpressure,12,0,1,single,8,early,none,0,8,none,nominal,8,PASS,PASS,1,none,clean,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/random_stress_stress_retry_50_007_prbs_retry_backpressure.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/random_stress_stress_retry_50_007_regress_summary.csv,0,valid,ENABLE_BACKPRESSURE=1;BACKPRESSURE_MOD=8;BACKPRESSURE_HOLD=1;ENABLE_CRC_WINDOW=1;CRC_START=80;CRC_COUNT=1;CRC_SPACING=8;ENABLE_LANE_FAULT=0
stress_retry_50,8,254465525,prbs_retry_backpressure,8,0,0,single,8,mid,none,0,4,none,nominal,16,PASS,PASS,1,none,clean,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/random_stress_stress_retry_50_008_prbs_retry_backpressure.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/random_stress_stress_retry_50_008_regress_summary.csv,0,valid,ENABLE_BACKPRESSURE=1;BACKPRESSURE_MOD=8;BACKPRESSURE_HOLD=1;ENABLE_CRC_WINDOW=1;CRC_START=140;CRC_COUNT=1;CRC_SPACING=16;ENABLE_LANE_FAULT=0
stress_retry_50,9,869077197,prbs_retry_backpressure,8,1,1,single,16,early,none,0,2,none,nominal,8,PASS,PASS,1,none,clean,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/random_stress_stress_retry_50_009_prbs_retry_backpressure.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/random_stress_stress_retry_50_009_regress_summary.csv,0,valid,ENABLE_BACKPRESSURE=1;BACKPRESSURE_MOD=4;BACKPRESSURE_HOLD=2;ENABLE_CRC_WINDOW=1;CRC_START=80;CRC_COUNT=1;CRC_SPACING=8;ENABLE_LANE_FAULT=0
power_dma_cross_25,0,1261443206,power_traffic_cross_test,2,1,1,single,32,mid,none,0,2,none,nominal,8,FAIL,PASS,0,uncategorized,process_rc_-6,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/random_stress_power_dma_cross_25_000_power_traffic_cross_test.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/random_stress_power_dma_cross_25_000_regress_summary.csv,0,valid,DMA_LEN_WORDS=2;DMA_SRC_BASE=9;DMA_DST_BASE=129;DMA2_LEN_WORDS=2;DMA2_SRC_BASE=41;DMA2_DST_BASE=161;QUEUE_PRESSURE=single;PARITY_INJECTION=none;TIMEOUT_PROFILE=nominal;MAX_CYCLES=32000;POWER_EVENT_START=96;POWER_EVENT_CYCLES=12;POWER_RECOVERY_CYCLES=48;TARGET_CIPHER_UPDATES=2;TARGET_TX_COUNT=64
power_dma_cross_25,1,864048886,power_traffic_cross_test,12,1,1,single,32,early,none,128,8,none,nominal,4,FAIL,PASS,0,uncategorized,process_rc_-6,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/random_stress_power_dma_cross_25_001_power_traffic_cross_test.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/random_stress_power_dma_cross_25_001_regress_summary.csv,0,valid,DMA_LEN_WORDS=12;DMA_SRC_BASE=9;DMA_DST_BASE=129;DMA2_LEN_WORDS=12;DMA2_SRC_BASE=41;DMA2_DST_BASE=161;QUEUE_PRESSURE=single;PARITY_INJECTION=none;TIMEOUT_PROFILE=nominal;MAX_CYCLES=32000;POWER_EVENT_START=128;POWER_EVENT_CYCLES=12;POWER_RECOVERY_CYCLES=48;TARGET_CIPHER_UPDATES=8;TARGET_TX_COUNT=256
power_dma_cross_25,2,1871676756,power_traffic_cross_test,16,0,0,pair,8,mid,none,64,1,none,nominal,8,FAIL,PASS,0,uncategorized,process_rc_-6,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/random_stress_power_dma_cross_25_002_power_traffic_cross_test.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/random_stress_power_dma_cross_25_002_regress_summary.csv,0,valid,DMA_LEN_WORDS=16;DMA_SRC_BASE=8;DMA_DST_BASE=128;DMA2_LEN_WORDS=16;DMA2_SRC_BASE=40;DMA2_DST_BASE=160;QUEUE_PRESSURE=pair;PARITY_INJECTION=none;TIMEOUT_PROFILE=nominal;MAX_CYCLES=32000;POWER_EVENT_START=64;POWER_EVENT_CYCLES=12;POWER_RECOVERY_CYCLES=48;TARGET_CIPHER_UPDATES=1;TARGET_TX_COUNT=32
power_dma_cross_25,3,598393866,power_traffic_cross_test,2,0,1,pair,16,early,none,128,1,none,nominal,8,FAIL,PASS,0,uncategorized,process_rc_-6,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/random_stress_power_dma_cross_25_003_power_traffic_cross_test.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/random_stress_power_dma_cross_25_003_regress_summary.csv,0,valid,DMA_LEN_WORDS=2;DMA_SRC_BASE=8;DMA_DST_BASE=129;DMA2_LEN_WORDS=2;DMA2_SRC_BASE=40;DMA2_DST_BASE=161;QUEUE_PRESSURE=pair;PARITY_INJECTION=none;TIMEOUT_PROFILE=nominal;MAX_CYCLES=32000;POWER_EVENT_START=128;POWER_EVENT_CYCLES=12;POWER_RECOVERY_CYCLES=48;TARGET_CIPHER_UPDATES=1;TARGET_TX_COUNT=32
power_dma_cross_25,4,323884011,power_traffic_cross_test,2,1,0,full_queue,16,early,none,64,1,none,nominal,4,FAIL,PASS,0,uncategorized,process_rc_-6,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/random_stress_power_dma_cross_25_004_power_traffic_cross_test.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/random_stress_power_dma_cross_25_004_regress_summary.csv,0,valid,DMA_LEN_WORDS=2;DMA_SRC_BASE=9;DMA_DST_BASE=128;DMA2_LEN_WORDS=2;DMA2_SRC_BASE=41;DMA2_DST_BASE=160;QUEUE_PRESSURE=full_queue;PARITY_INJECTION=none;TIMEOUT_PROFILE=nominal;MAX_CYCLES=32000;POWER_EVENT_START=64;POWER_EVENT_CYCLES=12;POWER_RECOVERY_CYCLES=48;TARGET_CIPHER_UPDATES=1;TARGET_TX_COUNT=32
